"통계분류(1)",통계분류(2),통계분류(3),2019,2019,2019,2021,2021,2021
"통계분류(1)",통계분류(2),통계분류(3),사례수,들음,듣지 않음,사례수,들음,듣지 않음
"전체",소계,소계,3126,18.7,81.3,3320,14.3,85.7
"학교급",초등학교,소계,1005,30.9,69.1,1117,23.3,76.7
"학교급",중학교,소계,985,11.6,88.4,1095,11.6,88.4
"학교급",고등학교,소계,1136,13.9,86.1,1108,7.8,92.2
"학교급 성별",초등학교,남,518,27.8,72.2,575,19.7,80.3
"학교급 성별",초등학교,여,487,34.2,65.8,541,27.1,72.9
"학교급 성별",중학교,남,512,8.3,91.7,566,9.4,90.6
"학교급 성별",중학교,여,473,15.2,84.8,529,14,86
"학교급 성별",고등학교,남,594,13.1,86.9,579,6.8,93.2
"학교급 성별",고등학교,여,542,14.8,85.2,529,8.9,91.1
"학교급 학년",초등학교,4학년,333,32.8,67.2,380,28.3,71.7
"학교급 학년",초등학교,5학년,351,40.9,59.1,360,22.3,77.7
"학교급 학년",초등학교,6학년,320,18.1,81.9,376,19.1,80.9
"학교급 학년",중학교,1학년,308,14.9,85.1,394,14.1,85.9
"학교급 학년",중학교,2학년,332,11.7,88.3,357,8.2,91.8
"학교급 학년",중학교,3학년,345,8.6,91.4,344,12.5,87.5
"학교급 학년",고등학교,1학년,338,18.1,81.9,392,6.4,93.6
"학교급 학년",고등학교,2학년,377,9,91,364,8.1,91.9
"학교급 학년",고등학교,3학년,421,15,85,352,9,91
